employee_id,punch_in_time,punch_out_time,total_logged_hours_day,late_arrival_flag,early_departure_flag,break_duration_minutes,biometric_match_score,punch_location,attendance_status,overtime_hours,late_start_count_per_week,early_exit_count_per_week,total_hours_per_week,variance_in_work_hours,absenteeism_rate,avg_daily_hours,punctuality_score,meeting_hours_per_week,meeting_counts_per_week,avg_meeting_duration_minutes,back_to_back_meetings_count,after_hours_meetings_count,meeting_accepted_ratio,meeting_organizer_count,meeting_attendee_count_avg,focus_time_hours_per_week,largest_meeting_attendees,recurring_meeting_percentage,messages_sent_per_day,messages_received_per_day,messages_sent_per_week,messages_received_per_week,avg_response_latency_min,communication_burstiness,after_hours_message_ratio,communication_balance,conversation_length_avg,channels_active_count,dm_vs_channel_ratio,emoji_reaction_count,mentions_received_count,message_edit_ratio,urgent_message_count,status_available_percentage,status_busy_percentage,status_away_percentage,status_dnd_percentage,avg_tasks_assigned_per_week,avg_tasks_completed_per_week,task_completion_rate,avg_task_age_days,overdue_task_ratio,overdue_task_count,in_progress_task_count,story_points_committed_per_week,story_points_completed_per_week,unique_projects_count,context_switching_score,logged_hours_per_week,logged_hours_per_day,worklog_entry_count_per_week,avg_worklog_session_duration,worklog_variance,billable_hours_percentage,github_commits_per_day,github_commits_per_week,github_commit_days_active,github_lines_added_per_week,github_lines_deleted_per_week,github_lines_changed_total,github_avg_commit_size,github_commit_message_length_avg,github_weekend_commit_ratio,github_prs_per_week,github_prs_merged_count,github_prs_open_count,github_pr_merge_rate,github_avg_pr_merge_time_hours,github_pr_comment_count_avg,github_pr_review_cycles_avg,github_pr_size_lines_avg,github_reviews_per_week,github_review_comments_given,github_review_approval_rate,github_review_response_time_hours,github_issues_created_per_week,github_issues_closed_per_week,github_issue_close_rate,github_repo_context_switching,github_activity_consistency,github_primary_repo_percentage,github_language_diversity,emails_sent_per_day,emails_received_per_day,email_response_rate,email_avg_response_time_hours,unread_email_count,emails_with_attachments_ratio,email_importance_high_ratio,email_thread_depth_avg,after_hours_email_ratio,calendar_fragmentation_score,deep_work_hours_per_week,collaboration_network_size,network_centrality_score,internal_external_comm_ratio,avg_Jira_ticket_resolution_time_days,jira_tickets_created_per_week,jira_tickets_closed_per_week,jira_ticket_reopen_rate,jira_bug_count_per_week,productivity_index,collaboration_score,focus_efficiency,multitasking_load,burnout_risk_score,work_life_balance_score,stress_indicator,workload_intensity,consistency_score,morning_activity_ratio,afternoon_activity_ratio,evening_activity_ratio,night_activity_ratio,weekend_work_ratio,Wellbeing Score,Overall Effciency score
E3348,2023-01-08 10:23:00,2023-01-08 18:52:15.836122,7.69,True,True,47.8,0.3495,Office-B,Absent,5.33,6,92,7.09,5.02,0.0226,1.82,0.7831,2.46,51,80.38,69,1.35,0.5877,48,33,2023-01-10 04:12:00,39,29.22,0,85,64,55,31.29,0.43,2.43,6,68.69,94,0.2218,35,92,0.9167,53,25.77,73.52,26.74,11.22,19.39,34.46,0.9257,57.37,0.4192,46,100,6,4,97,0.3056,3.72,1.09,72,5.46,-3.33,6.81,24,8,1,57,99,27,20.89,1.45,0.5005,7,8,66,0.9026,2023-02-04 11:05:00,34,36.47,40,8,4,0.703,2023-03-24 08:03:00,4,5,0.6205,1,0.0514,23.74,5,0,5,0.3266,2023-11-02 11:30:00,21,0.127,0.1936,16.86,0.85,0.7052,4.32,10,0.0166,0.4617,2023-11-25 10:41:00,4,5,0.8766,88,5,0.5109,6,0,0.7308,0.1815,10,10,0.9258,0.466,0.7507,0.3611,0.9652,0.0496,10,4
E4743,2023-02-02 09:19:00,2023-02-02 17:40:20.875602,8.08,True,False,16.31,0.8041,Remote,Present,2.82,38,62,7.16,1.29,0.7995,6.97,0.4951,4.14,49,50.08,6,3.67,0.2144,76,59,2023-10-12 14:49:00,29,66.97,33,9,56,24,63.41,2.06,2.33,6,16.54,78,0.0901,35,1,0.1347,69,80.05,14.67,51.05,51.31,83.38,20.99,0.2238,71.4,0.7151,81,81,9,0,30,0.4392,3.38,0.79,32,6.75,4.94,6.79,30,53,4,66,42,58,40.04,79.14,0.1747,9,85,50,0.9942,2023-05-21 22:21:00,63,61.45,66,0,7,0.5507,2023-10-08 21:29:00,9,10,0.9343,0,0.1779,66.69,0,1,3,0.7559,2023-09-22 19:36:00,67,0.985,0.87,82.97,5.27,0.6928,1.03,2,0.5606,0.2479,2023-02-28 14:43:00,0,4,0.3153,95,10,0.774,10,7,0.9119,0.7403,9,8,0.9342,0.428,0.2146,0.8927,0.9336,0.6874,4,8
E2656,2023-01-08 09:48:00,2023-01-08 18:43:30.596812,8.09,True,False,50.02,0.9823,Office-A,Present,4.89,63,30,6.63,6.82,0.8093,6.25,0.9456,6.82,32,15.54,89,2.89,0.8414,31,14,2023-01-22 14:58:00,22,94.43,29,45,79,70,82.97,3.78,3.06,6,50.8,13,0.8298,18,37,0.0284,74,37.22,99.16,31.61,50.66,92.02,70.98,0.2544,32.09,0.1367,49,64,1,8,89,0.6222,7.93,0.55,93,1.37,-0.14,6.8,28,28,6,54,92,52,17.79,92.23,0.971,9,31,9,0.6575,2023-10-24 16:27:00,53,80.84,39,3,5,0.3854,2023-11-10 21:53:00,2,9,0.0656,6,0.615,9.23,8,4,7,0.1941,2023-08-08 05:18:00,83,0.5821,0.6079,34.19,4.75,0.928,6.59,8,0.8645,0.5589,2023-09-18 06:49:00,0,0,0.9946,97,10,0.1239,8,10,0.8466,0.5092,8,9,0.7352,0.4762,0.9096,0.1933,0.9634,0.5045,7,0
E5409,2023-04-14 09:35:00,2023-04-14 19:12:13.684692,9.29,False,False,19.59,0.8309,Client-Site,Absent,6.22,46,28,3.9,2.21,0.6324,6.24,0.0233,3.36,30,79.34,46,6.63,0.7855,11,76,2023-07-25 09:28:00,27,76.45,94,2,23,18,89.1,4.32,3.73,2,5.98,41,0.3458,8,27,0.5188,62,8.44,14.71,12.12,14.26,7.09,41.69,0.2098,27.12,0.8007,26,55,8,1,49,0.9765,0.78,2.64,42,7.96,0.72,1.85,27,41,7,99,44,54,15.49,74.48,0.0017,8,98,51,0.6419,2023-06-09 01:25:00,30,62.55,51,3,0,0.6667,2023-12-23 14:26:00,4,5,0.1899,9,0.0446,98.5,8,5,9,0.6748,2023-04-25 08:16:00,19,0.8534,0.2561,68.54,1.79,0.3332,0.57,5,0.6527,0.6608,2023-08-11 11:51:00,10,2,0.1516,98,0,0.3797,5,5,0.912,0.2035,10,7,0.7303,0.0219,0.6047,0.3766,0.0711,0.2308,1,9
E4283,2023-07-24 10:34:00,2023-07-24 19:56:43.922101,8.61,False,True,46.0,0.0016,Office-A,Absent,7.25,69,97,1.26,0.66,0.8323,6.04,0.4245,6.7,29,62.05,28,1.66,0.7391,71,40,2023-06-28 21:17:00,21,77.76,9,24,4,34,76.03,1.52,6.96,2,33.06,47,0.8081,17,75,0.307,31,65.1,85.98,0.39,88.42,93.78,17.32,0.8391,64.35,0.3915,56,17,4,4,55,0.7143,1.42,5.72,87,5.15,3.95,7.85,53,59,1,55,42,29,55.34,97.24,0.9962,4,22,2,0.0697,2023-10-27 06:56:00,34,76.51,98,9,6,0.4615,2023-02-02 23:17:00,0,7,0.6608,4,0.9861,76.14,7,4,1,0.0336,2023-10-15 18:04:00,77,0.6291,0.1598,31.95,6.48,0.8381,5.62,1,0.37,0.4819,2023-11-01 17:14:00,5,1,0.0965,61,5,0.6061,5,5,0.006,0.9935,7,10,0.171,0.0891,0.2151,0.6312,0.3936,0.9293,3,9
E5882,2023-01-29 08:21:00,2023-01-29 17:35:47.926169,8.35,True,True,53.84,0.0039,Office-A,On-Leave,1.42,71,90,1.38,1.08,0.7652,5.48,0.317,4.52,27,63.12,18,6.22,0.3674,24,12,2023-08-22 23:18:00,12,67.44,8,84,41,27,78.88,0.06,6.86,0,0.41,37,0.2454,60,92,0.4777,28,0.3,88.91,67.36,25.7,27.97,14.57,0.934,30.49,0.9574,24,40,3,8,92,0.4843,5.34,2.57,89,2.9,0.61,2.62,15,25,9,30,28,15,95.15,20.16,0.2228,3,32,61,0.6813,2023-09-14 09:28:00,78,68.65,20,2,8,0.5137,2023-04-09 13:24:00,9,1,0.3032,6,0.5676,20.62,2,1,0,0.0363,2023-01-28 13:34:00,18,0.9597,0.5599,87.46,2.7,0.7508,4.22,3,0.3623,0.4975,2023-09-01 01:25:00,9,2,0.5099,29,0,0.9033,0,9,0.3629,0.5004,7,0,0.7264,0.5299,0.5632,0.5644,0.4214,0.9632,9,2
E3656,2023-06-06 09:54:00,2023-06-06 18:29:48.003533,7.8,False,True,47.67,0.3511,Office-A,Present,5.77,18,37,6.37,0.95,0.1138,3.56,0.156,0.74,43,56.84,23,1.84,0.1152,23,57,2023-07-01 16:05:00,50,80.47,75,42,94,9,11.71,2.0,2.48,9,69.69,76,0.4947,46,39,0.9875,56,82.76,8.26,81.24,78.66,87.75,39.24,0.7214,84.84,0.1968,90,20,8,6,7,0.3012,3.98,0.74,43,4.1,-0.61,6.79,10,42,5,32,54,9,10.36,98.15,0.9078,0,17,74,0.4221,2023-12-15 14:08:00,57,61.46,98,4,8,0.9565,2023-07-15 13:06:00,10,2,0.7034,7,0.7491,10.67,7,10,0,0.8824,2023-06-28 12:13:00,95,0.4881,0.5384,13.23,4.8,0.9909,0.83,4,0.0243,0.4485,2023-12-17 09:47:00,0,7,0.2359,25,0,0.2577,9,0,0.623,0.8235,9,9,0.313,0.4454,0.0838,0.4382,0.074,0.721,9,1
E1852,2023-08-13 08:35:00,2023-08-13 16:37:03.203166,7.21,False,True,49.21,0.8554,Office-A,Present,4.74,22,34,2.57,5.19,0.1511,1.32,0.0309,4.74,91,51.97,98,7.95,0.7625,15,85,2023-07-22 16:51:00,50,83.49,3,18,59,75,5.06,1.8,0.52,0,4.91,39,0.4267,100,19,0.7935,42,49.08,17.39,88.36,64.73,49.07,72.39,0.8476,7.92,0.7356,24,41,5,5,22,0.7544,7.98,4.31,17,6.83,2.61,6.51,34,63,5,56,74,100,10.55,71.04,0.5344,5,53,31,0.5195,2023-11-06 13:45:00,62,76.04,50,8,5,0.9222,2023-08-01 16:02:00,5,8,0.6223,6,0.0627,93.58,10,9,7,0.8028,2023-11-29 05:54:00,22,0.8451,0.1323,99.54,5.42,0.9255,3.03,7,0.0722,0.5921,2023-12-15 20:59:00,6,9,0.7271,88,6,0.4047,6,2,0.2918,0.2122,9,7,0.7112,0.8626,0.2668,0.6153,0.1607,0.3551,2,7
E5330,2023-08-08 08:57:00,2023-08-08 18:18:56.452703,9.04,True,False,19.67,0.3432,Office-A,Absent,7.08,15,82,0.83,3.74,0.7556,1.92,0.7195,1.69,5,61.96,90,4.16,0.3825,37,100,2023-05-26 18:42:00,26,21.69,60,56,54,61,10.24,2.08,3.01,3,35.43,8,0.1868,90,95,0.5106,70,32.52,64.45,5.02,23.31,65.91,8.3,0.9368,2.84,0.3783,44,6,3,1,65,0.3857,3.24,6.29,59,3.62,-1.98,7.79,40,66,7,49,28,67,97.67,93.57,0.9823,6,90,14,0.5495,2023-12-18 04:01:00,82,69.86,27,9,8,0.7915,2023-05-27 06:01:00,0,8,0.2699,5,0.8669,60.12,5,2,1,0.5112,2023-08-13 05:38:00,8,0.8683,0.7594,2.31,3.92,0.325,6.33,4,0.6706,0.0794,2023-10-23 20:39:00,10,0,0.5153,14,3,0.0658,2,4,0.1734,0.4048,3,6,0.1652,0.4133,0.9178,0.108,0.3388,0.5896,6,3
E4364,2023-06-22 08:17:00,2023-06-22 17:01:07.171797,7.91,False,True,49.35,0.4921,Client-Site,On-Leave,6.77,69,13,4.12,4.06,0.2477,2.68,0.3252,6.4,40,75.53,51,6.01,0.0493,53,10,2023-05-05 11:16:00,11,95.74,48,1,31,63,85.08,0.2,2.24,7,8.48,62,0.7832,80,47,0.3648,16,21.38,3.51,8.71,9.28,51.33,36.17,0.429,51.24,0.6391,79,30,8,9,76,0.3159,2.73,1.85,10,4.67,-3.33,7.6,52,11,7,17,60,11,28.68,41.6,0.5547,1,70,13,0.5245,2023-02-23 15:19:00,44,76.64,99,7,10,0.3542,2023-09-10 11:56:00,4,10,0.8922,3,0.1253,71.57,4,3,3,0.6473,2023-09-25 22:00:00,84,0.7532,0.6621,42.27,0.67,0.955,3.41,4,0.0997,0.2263,2023-12-16 09:22:00,2,4,0.5666,71,10,0.8426,10,1,0.5966,0.4371,7,2,0.6205,0.011,0.6479,0.647,0.0454,0.1768,0,10
