employee_id,punch_in_time,punch_out_time,total_logged_hours_day,late_arrival_flag,early_departure_flag,break_duration_minutes,biometric_match_score,punch_location,attendance_status,overtime_hours,late_start_count_per_week,early_exit_count_per_week,total_hours_per_week,variance_in_work_hours,absenteeism_rate,avg_daily_hours,punctuality_score,meeting_hours_per_week,meeting_counts_per_week,avg_meeting_duration_minutes,back_to_back_meetings_count,after_hours_meetings_count,meeting_accepted_ratio,meeting_organizer_count,meeting_attendee_count_avg,focus_time_hours_per_week,largest_meeting_attendees,recurring_meeting_percentage,messages_sent_per_day,messages_received_per_day,messages_sent_per_week,messages_received_per_week,avg_response_latency_min,communication_burstiness,after_hours_message_ratio,communication_balance,conversation_length_avg,channels_active_count,dm_vs_channel_ratio,emoji_reaction_count,mentions_received_count,message_edit_ratio,urgent_message_count,status_available_percentage,status_busy_percentage,status_away_percentage,status_dnd_percentage,avg_tasks_assigned_per_week,avg_tasks_completed_per_week,task_completion_rate,avg_task_age_days,overdue_task_ratio,overdue_task_count,in_progress_task_count,story_points_committed_per_week,story_points_completed_per_week,unique_projects_count,context_switching_score,logged_hours_per_week,logged_hours_per_day,worklog_entry_count_per_week,avg_worklog_session_duration,worklog_variance,billable_hours_percentage,github_commits_per_day,github_commits_per_week,github_commit_days_active,github_lines_added_per_week,github_lines_deleted_per_week,github_lines_changed_total,github_avg_commit_size,github_commit_message_length_avg,github_weekend_commit_ratio,github_prs_per_week,github_prs_merged_count,github_prs_open_count,github_pr_merge_rate,github_avg_pr_merge_time_hours,github_pr_comment_count_avg,github_pr_review_cycles_avg,github_pr_size_lines_avg,github_reviews_per_week,github_review_comments_given,github_review_approval_rate,github_review_response_time_hours,github_issues_created_per_week,github_issues_closed_per_week,github_issue_close_rate,github_repo_context_switching,github_activity_consistency,github_primary_repo_percentage,github_language_diversity,emails_sent_per_day,emails_received_per_day,email_response_rate,email_avg_response_time_hours,unread_email_count,emails_with_attachments_ratio,email_importance_high_ratio,email_thread_depth_avg,after_hours_email_ratio,calendar_fragmentation_score,deep_work_hours_per_week,collaboration_network_size,network_centrality_score,internal_external_comm_ratio,avg_Jira_ticket_resolution_time_days,jira_tickets_created_per_week,jira_tickets_closed_per_week,jira_ticket_reopen_rate,jira_bug_count_per_week,productivity_index,collaboration_score,focus_efficiency,multitasking_load,burnout_risk_score,work_life_balance_score,stress_indicator,workload_intensity,consistency_score,morning_activity_ratio,afternoon_activity_ratio,evening_activity_ratio,night_activity_ratio,weekend_work_ratio,Wellbeing Score,Overall Effciency score
E5227,2023-05-31 08:36:00,2023-05-31 17:34:43.589976,8.66,False,True,18.91,0.604,Client-Site,Absent,4.96,38,31,7.62,7.26,0.0616,5.76,0.8542,1.12,60,42.99,10,2.29,0.5754,2,77,2023-01-24 20:45:00,7,31.45,33,100,66,71,108.66,4.49,0.74,6,69.03,64,0.087,24,87,0.016,85,9.31,47.4,28.37,44.12,68.84,88.96,0.6498,84.19,0.8403,100,71,9,5,84,1.0,1.47,5.43,20,6.27,-4.5,5.03,17,1,3,17,74,85,97.79,26.2,0.6194,10,87,38,0.3227,2023-09-27 06:46:00,11,21.75,30,8,8,0.8682,2023-03-29 18:47:00,1,6,0.8519,8,0.5979,4.56,9,5,7,0.4662,2023-09-25 18:53:00,9,0.8205,0.7286,10.75,5.8,0.9375,1.9,8,0.457,0.5707,2023-10-21 03:31:00,0,9,0.4021,67,4,0.5238,3,1,0.4466,0.2866,3,7,0.5198,0.7379,0.8376,0.873,0.2723,0.6757,1,3
E1538,2023-05-08 08:01:00,2023-05-08 16:43:24.177392,8.2,False,True,30.12,0.0951,Remote,Present,4.47,28,37,2.76,7.78,0.0297,1.8,0.7475,2.48,33,50.58,28,5.94,0.6275,73,29,2023-08-08 07:59:00,42,95.48,42,96,87,76,56.21,2.69,5.74,0,82.14,98,0.4615,87,8,0.9148,39,44.09,68.11,19.78,75.68,40.01,92.89,0.1482,66.77,0.6575,46,40,7,0,0,0.2778,7.15,6.15,30,7.78,2.95,6.15,74,40,2,4,23,44,49.56,68.21,0.5175,7,24,59,0.9495,2023-03-10 06:00:00,66,10.2,43,2,9,0.7092,2023-03-25 09:52:00,1,10,0.0242,3,0.4292,56.56,3,3,10,0.8822,2023-01-20 17:26:00,34,0.6242,0.4148,52.45,3.82,0.6811,5.37,8,0.2398,0.9625,2023-05-01 04:43:00,10,7,0.1494,39,2,0.3151,4,2,0.3661,0.8593,1,6,0.4683,0.8943,0.5747,0.5137,0.2589,0.2888,9,10
E3411,2023-01-23 08:13:00,2023-01-23 16:46:10.158602,8.02,False,True,31.92,0.4714,Client-Site,Present,6.41,74,98,0.72,3.22,0.2513,1.09,0.0062,2.12,75,86.24,99,7.04,0.251,56,31,2023-04-13 10:10:00,44,77.8,7,98,34,74,84.14,3.43,6.51,4,97.03,63,0.4293,97,91,0.1263,84,1.25,26.29,33.29,74.85,11.31,32.51,0.3865,73.47,0.0685,63,2,3,2,49,0.9327,3.4,2.08,83,6.29,-1.33,2.05,35,7,2,55,32,100,97.38,93.72,0.014,8,26,78,0.7714,2023-05-05 10:29:00,83,97.94,33,4,2,0.3264,2023-04-02 02:39:00,1,2,0.3665,0,0.2291,58.9,6,1,5,0.0774,2023-02-04 02:13:00,80,0.5947,0.4842,71.93,4.89,0.8728,6.54,7,0.4862,0.6263,2023-01-03 18:17:00,1,0,0.6697,89,2,0.5522,0,9,0.1759,0.0419,0,1,0.7049,0.885,0.1925,0.7505,0.6148,0.9059,9,6
E1010,2023-11-24 10:51:00,2023-11-24 20:27:11.651351,8.96,True,True,38.48,0.5015,Client-Site,Absent,1.21,73,29,0.97,4.73,0.3275,2.06,0.4501,2.62,100,72.84,28,7.41,0.7843,31,32,2023-05-19 00:10:00,6,63.42,91,52,56,42,34.81,4.67,5.99,0,4.66,81,0.0542,78,13,0.1628,43,83.07,72.34,77.92,32.37,5.92,46.64,0.345,42.03,0.153,29,68,2,4,39,0.9765,7.07,2.77,4,1.61,1.17,1.44,1,10,4,32,98,47,20.21,18.26,0.2368,5,95,56,0.7575,2023-02-28 22:02:00,41,28.16,83,7,4,0.1396,2023-01-27 01:56:00,3,7,0.8427,3,0.3123,40.19,9,10,10,0.7169,2023-11-25 22:37:00,92,0.5323,0.5328,55.03,0.97,0.7245,4.81,1,0.2708,0.6535,2023-12-24 06:41:00,4,5,0.0978,31,4,0.159,8,7,0.6424,0.9242,8,7,0.5398,0.1152,0.4292,0.7807,0.1059,0.731,10,8
E2173,2023-05-19 09:07:00,2023-05-19 17:53:00.291821,8.15,True,False,36.8,0.0362,Client-Site,Absent,5.16,94,23,1.74,7.89,0.8849,1.97,0.1978,3.77,9,63.56,25,3.6,0.7467,94,100,2023-10-13 12:59:00,47,80.51,82,32,76,16,76.46,4.95,5.98,2,10.86,50,0.0726,60,46,0.1602,61,69.13,97.04,57.87,29.55,66.32,77.83,0.1802,14.47,0.0021,78,84,6,10,17,0.9411,6.1,7.83,64,2.95,0.3,3.34,8,79,5,59,24,18,46.23,25.86,0.9248,10,52,82,0.7289,2023-11-18 18:39:00,67,48.14,79,8,2,0.6996,2023-01-03 23:22:00,4,0,0.3471,8,0.1165,90.14,1,5,3,0.2966,2023-03-25 02:22:00,47,0.5034,0.4095,24.39,6.87,0.5114,3.66,1,0.2219,0.2658,2023-08-05 01:16:00,0,1,0.7547,8,3,0.4351,6,10,0.9266,0.285,10,9,0.5532,0.6809,0.5108,0.143,0.2166,0.4592,7,2
E2793,2023-06-01 10:18:00,2023-06-01 18:37:59.155720,7.85,True,True,29.12,0.3795,Remote,Absent,4.29,80,52,3.65,6.75,0.6714,6.07,0.9086,2.05,77,30.17,77,3.51,0.5877,94,81,2023-04-21 12:53:00,41,25.7,36,92,24,58,77.72,1.26,2.4,7,11.3,72,0.7882,16,94,0.3085,0,99.0,47.29,45.41,47.07,18.05,38.8,0.236,87.61,0.1936,60,95,6,8,75,0.273,1.94,1.12,47,2.96,-4.56,0.73,16,32,7,57,2,19,65.52,16.84,0.5204,4,61,15,0.0285,2023-09-20 03:23:00,94,43.63,32,4,9,0.9367,2023-06-04 17:38:00,6,6,0.0083,2,0.2662,53.76,3,6,0,0.9696,2023-05-06 18:10:00,14,0.6943,0.4802,93.78,2.76,0.6765,4.67,1,0.5983,0.8611,2023-03-31 19:10:00,2,2,0.3009,54,5,0.8722,4,5,0.9278,0.1271,7,9,0.5544,0.0402,0.573,0.0754,0.1058,0.0028,10,8
E5040,2023-10-01 09:03:00,2023-10-01 18:22:49.389755,8.77,False,True,33.92,0.7696,Office-A,Absent,5.37,18,26,4.01,2.83,0.1415,7.43,0.476,2.01,75,51.38,69,2.0,0.2542,42,62,2023-04-11 22:56:00,49,50.96,99,63,73,25,12.25,4.05,7.6,4,59.53,74,0.2864,66,90,0.3569,34,77.55,5.52,86.42,90.18,47.08,66.69,0.8614,15.4,0.2026,76,5,7,5,11,0.7954,0.82,7.84,89,0.81,3.24,2.83,31,100,9,41,29,82,84.61,45.48,0.7173,8,7,39,0.174,2023-07-12 21:20:00,60,51.33,37,0,9,0.5129,2023-12-05 09:36:00,9,8,0.556,1,0.9083,38.42,2,0,2,0.3775,2023-07-15 05:14:00,45,0.9687,0.7962,1.59,1.23,0.4455,0.71,1,0.4694,0.6262,2023-08-24 12:18:00,0,7,0.2379,31,2,0.1228,9,7,0.7581,0.5931,10,6,0.4841,0.5462,0.2979,0.4879,0.3793,0.0029,1,7
E2378,2023-01-18 10:08:00,2023-01-18 19:50:01.536441,9.22,True,False,29.11,0.6792,Office-A,On-Leave,5.76,28,32,4.39,7.91,0.253,7.76,0.5131,6.13,0,50.45,46,2.43,0.7197,50,100,2023-02-03 05:24:00,28,90.74,71,8,75,96,35.8,4.29,4.75,5,31.92,19,0.6249,43,25,0.3128,89,77.81,74.36,68.73,20.48,19.07,38.55,0.7508,65.5,0.3084,57,61,5,3,44,0.6991,5.48,2.96,32,3.01,3.67,4.68,32,59,1,54,29,91,74.31,95.75,0.2477,9,81,7,0.4023,2023-04-13 12:37:00,36,5.42,19,5,7,0.4976,2023-04-24 11:34:00,5,2,0.6026,1,0.6618,88.9,7,2,3,0.5956,2023-10-05 02:32:00,24,0.4262,0.8466,29.01,0.63,0.579,4.51,8,0.634,0.3303,2023-06-30 11:40:00,10,6,0.3342,51,8,0.6164,6,3,0.7391,0.8578,5,5,0.539,0.5316,0.7821,0.427,0.6639,0.7859,4,9
E4598,2023-12-15 09:38:00,2023-12-15 17:44:06.411655,7.17,True,True,55.64,0.6769,Office-A,Absent,5.0,80,1,6.78,4.36,0.3846,4.54,0.0482,1.29,86,56.55,96,5.67,0.0451,31,22,2023-10-26 16:58:00,37,40.28,90,83,82,22,44.69,0.84,4.05,3,11.61,48,0.575,84,31,0.9938,25,43.36,87.17,64.96,51.08,70.31,29.06,0.2427,15.94,0.0675,30,44,1,9,50,0.5846,0.79,6.36,50,3.33,-2.39,7.87,75,75,8,62,8,73,66.32,43.75,0.9065,8,76,33,0.4811,2023-02-02 03:21:00,93,36.24,68,2,0,0.3568,2023-01-26 18:16:00,0,3,0.8186,3,0.4607,59.68,0,0,7,0.7749,2023-09-27 05:54:00,89,0.7008,0.7477,96.26,6.56,0.3534,3.32,0,0.5613,0.9694,2023-02-14 22:23:00,5,10,0.7644,19,7,0.5687,8,7,0.0489,0.2694,2,9,0.7713,0.2202,0.7231,0.9699,0.9901,0.6952,1,2
E4165,2023-06-07 08:01:00,2023-06-07 17:35:05.749159,9.02,True,True,32.67,0.7766,Office-B,Present,3.49,53,3,2.86,3.73,0.6264,6.5,0.0978,2.82,25,15.89,51,2.63,0.2176,40,16,2023-09-24 01:50:00,37,26.49,69,41,95,7,31.79,4.27,5.13,3,73.89,39,0.3685,26,32,0.7183,43,16.14,70.03,95.25,89.99,28.49,98.15,0.389,33.86,0.1641,24,65,4,2,25,0.0672,3.96,7.03,57,2.88,2.7,6.36,45,7,9,16,85,72,49.77,55.39,0.9579,10,65,47,0.2023,2023-08-18 10:02:00,47,58.0,1,3,3,0.3656,2023-03-27 19:08:00,4,4,0.6339,10,0.814,82.08,6,2,3,0.2238,2023-09-13 06:34:00,21,0.978,0.317,29.44,5.91,0.9705,0.73,1,0.008,0.3329,2023-07-31 10:10:00,10,0,0.8528,62,0,0.429,6,10,0.5518,0.56,0,0,0.1483,0.4454,0.5794,0.4599,0.636,0.2491,8,7
